caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,target_binary,target_multi
1946-001,1946-001-01,1946-001-01-01,1946-001-01-01-01,11/18/1946,1,329 U.S. 1,67 S. Ct. 6,91 L. Ed. 3,1946 U.S. LEXIS 1724,1946,1301,Vinson,24,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.",1/9/1946,10/23/1946,198.0,,172.0,,6.0,,,0.0,51.0,6.0,29.0,,0.0,11.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,80180.0,8.0,2.0,0.0,4.0,,6.0,600.0,35 U.S.C. Â§ 33,78.0,78.0,1,8,1,1.0,1
1946-002,1946-002-01,1946-002-01-01,1946-002-01-01-01,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,12,CLEVELAND v. UNITED STATES,10/10/1945,10/17/1946,100.0,,27.0,,1.0,,,0.0,123.0,52.0,30.0,,0.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,10500.0,1.0,1.0,0.0,4.0,,6.0,600.0,18 U.S.C. Â§ 398,81.0,87.0,1,6,3,0.0,0
1946-003,1946-003-01,1946-003-01-01,1946-003-01-01-01,11/18/1946,1,329 U.S. 29,67 S. Ct. 1,91 L. Ed. 22,1946 U.S. LEXIS 3037,1946,1301,Vinson,21,CHAMPLIN REFINING CO. v. UNITED STATES ET AL.,11/8/1945,10/18/1946,209.0,,27.0,,2.0,66.0,,1.0,107.0,42.0,107.0,42.0,0.0,1.0,,2.0,1.0,2.0,0.0,0.0,0.0,0.0,80250.0,8.0,2.0,0.0,1.0,,2.0,207.0,,84.0,78.0,1,5,4,0.0,0
1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27.0,,170.0,,1.0,67.0,,0.0,3.0,,3.0,,0.0,10.0,,2.0,1.0,2.0,0.0,0.0,0.0,0.0,20150.0,2.0,2.0,0.0,4.0,,6.0,600.0,49 Stat. 801,87.0,87.0,1,5,3,0.0,0
1946-005,1946-005-01,1946-005-01-01,1946-005-01-01-01,11/25/1946,1,329 U.S. 64,67 S. Ct. 154,91 L. Ed. 44,1946 U.S. LEXIS 2997,1946,1301,Vinson,50,"UNITED STATES v. HOWARD P. FOLEY CO., INC.",10/25/1946,,27.0,,176.0,,1.0,,,0.0,3.0,,3.0,,0.0,2.0,,2.0,1.0,3.0,0.0,1.0,0.0,0.0,80060.0,8.0,2.0,0.0,7.0,,,,,78.0,87.0,1,6,3,1.0,1
1946-006,1946-006-01,1946-006-01-01,1946-006-01-01-01,11/25/1946,1,329 U.S. 69,67 S. Ct. 156,91 L. Ed. 80,1946 U.S. LEXIS 3005,1946,1301,Vinson,46,RICHFIELD OIL CORP. v. STATE BOARD OF EQUALIZATION,10/24/1946,,198.0,,4.0,6.0,2.0,117.0,6.0,0.0,302.0,6.0,300.0,6.0,1.0,1.0,3.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,80100.0,8.0,1.0,0.0,2.0,,1.0,129.0,,81.0,87.0,1,7,1,1.0,1
1946-007,1946-007-01,1946-007-01-01,1946-007-01-01-01,11/25/1946,1,329 U.S. 90,67 S. Ct. 133,91 L. Ed. 103,1946 U.S. LEXIS 3053,1946,1301,Vinson,4,AMERICAN POWER & LIGHT CO. v. SECURITIES & EXCHANGE COMMISSION,11/16/1945,10/14/1946,148.0,,405.0,,1.0,105.0,,0.0,21.0,,21.0,,0.0,10.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,80120.0,8.0,2.0,0.0,1.0,,6.0,600.0,15 U.S.C. Â§ 79,82.0,74.0,1,6,0,0.0,0
1946-008,1946-008-01,1946-008-01-01,1946-008-01-01-01,12/9/1946,1,329 U.S. 129,67 S. Ct. 231,91 L. Ed. 128,1946 U.S. LEXIS 2995,1946,1301,Vinson,11,ALMA MOTOR CO. v. TIMKEN-DETROIT AXLE CO. ET AL.,4/25/1946,10/24/1946,189.0,,189.0,,1.0,24.0,,0.0,54.0,9.0,23.0,,0.0,12.0,5.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,90200.0,9.0,1.0,0.0,4.0,,6.0,600.0,35 U.S.C. Â§ 89,87.0,87.0,1,9,0,,2
1946-009,1946-009-01,1946-009-01-01,1946-009-01-01-01,12/9/1946,1,329 U.S. 143,67 S. Ct. 245,91 L. Ed. 136,1946 U.S. LEXIS 3047,1946,1301,Vinson,25,UNEMPLOYMENT COMPENSATION COMMISSION OF ALASKA ET AL. v. ARAGON ET AL.,2/27/1946,11/13/1946,4.0,2.0,248.0,,1.0,117.0,2.0,0.0,44.0,2.0,29.0,,1.0,10.0,2.0,2.0,1.0,7.0,0.0,1.0,0.0,0.0,70190.0,7.0,1.0,0.0,4.0,5.0,5.0,512.0,,87.0,87.0,1,9,0,1.0,1
1946-010,1946-010-01,1946-010-01-01,1946-010-01-01-01,12/9/1946,1,329 U.S. 156,67 S. Ct. 237,91 L. Ed. 162,1946 U.S. LEXIS 3048,1946,1301,Vinson,42,VANSTON BONDHOLDERS PROTECTIVE COMMITTEE v. GREEN ET AL.,10/22/1946,,135.0,,114.0,,1.0,,,0.0,73.0,21.0,26.0,,0.0,10.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,80030.0,8.0,2.0,0.0,4.0,,3.0,307.0,,78.0,87.0,1,8,0,0.0,0
