Model,Strategy,Accuracy,Precision,Recall,F1,F1_Macro,F1_Weighted,ROC_AUC
baseline_unbalanced,Unbalanced,0.6469,0.6469,1.0,0.7853,0.3927,0.5084,0.5
logreg_unbalanced,Unbalanced,0.6606,0.663,0.9686,0.7867,0.4771,0.5678,0.6221
logreg_smote,SMOTE,0.5362,0.5027,0.7701,0.6053,0.4041,0.4861,
logreg_weighted,Class Weights,0.5817,0.7231,0.5697,0.637,0.5698,0.5906,0.6283
rf_unbalanced,Unbalanced,0.6678,0.6803,0.9316,0.7837,0.5271,0.6006,0.6579
rf_smote,SMOTE,0.5773,0.5097,0.744,0.6005,0.4551,0.5537,
rf_weighted,Class Weights,0.6511,0.6971,0.8214,0.7517,0.5786,0.6291,0.6455
lgbm_unbalanced,Unbalanced,0.6573,0.6826,0.8986,0.7707,0.5298,0.5986,0.6307
lgbm_smote,SMOTE,0.5814,0.512,0.741,0.6001,0.4593,0.5573,
lgbm_weighted,Class Weights,0.6161,0.699,0.7184,0.7048,0.5688,0.6094,0.618
