Model,Strategy,Precision_Affirm,Recall_Affirm,F1_Affirm,Support_Affirm,Precision_Reverse,Recall_Reverse,F1_Reverse,Support_Reverse,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted
rf_unbalanced,Unbalanced,0.5833,0.1717,0.2653,367,0.6783,0.9344,0.786,686,0.6308,0.553,0.5256,0.6452,0.6686,0.6045
rf_smote,SMOTE,0.4711,0.6213,0.5358,367,0.7557,0.6268,0.6853,686,0.6134,0.624,0.6105,0.6565,0.6249,0.6332
logreg_unbalanced,Unbalanced,0.5369,0.218,0.3101,367,0.6825,0.8994,0.7761,686,0.6097,0.5587,0.5431,0.6318,0.6619,0.6137
logreg_smote,SMOTE,0.4348,0.7629,0.5539,367,0.7873,0.4694,0.5881,686,0.611,0.6162,0.571,0.6644,0.5717,0.5762
logreg_weighted,Class Weights,0.4338,0.7684,0.5546,367,0.7891,0.4636,0.584,686,0.6115,0.616,0.5693,0.6653,0.5698,0.5738
rf_weighted,Class Weights,0.5172,0.3678,0.4299,367,0.7071,0.8163,0.7578,686,0.6122,0.5921,0.5939,0.6409,0.66,0.6435
lgbm_unbalanced,Unbalanced,0.6337,0.1744,0.2735,367,0.6817,0.9461,0.7924,686,0.6577,0.5602,0.533,0.665,0.6771,0.6116
lgbm_smote,SMOTE,0.4601,0.5504,0.5012,367,0.7313,0.6545,0.6908,686,0.5957,0.6025,0.596,0.6368,0.6182,0.6247
lgbm_weighted,Class Weights,0.4242,0.6485,0.5129,367,0.7378,0.5292,0.6163,686,0.581,0.5888,0.5646,0.6285,0.5708,0.5803
baseline_unbalanced,Unbalanced,0.0,0.0,0.0,367,0.6515,1.0,0.789,686,0.3257,0.5,0.3945,0.4244,0.6515,0.514
