feature,importance
certReason_2,0.014861103909154672
respondent,0.013107239507918688
petitioner,0.012693369133723289
naturalCourt,0.012218349728429844
decisionType_2,0.011921799402854937
lcDisposition,0.011669661155438854
certReason_12,0.011508641787516883
lcDisagreement_1,0.009299870263096768
lcDisagreement_0,0.009046191747961067
lcDispositionDirection_1,0.0066720856976952925
caseSourceState,0.006014778647750878
decisionType_5,0.005403246480198639
caseSource,0.005358808008818657
lawType_2,0.0033805688415808064
caseOriginState,0.0028966097772059893
lcDispositionDirection_2,0.0027595384155174934
caseOrigin,0.0026533091719813423
decisionType_1,0.0022880708308617563
lawType_6,0.002226669565153361
jurisdiction_1,0.001982749473957685
authorityDecision1_4,0.0019582079555190775
issueArea_9,0.001893656482509619
issueArea_1,0.0018261027577162363
adminAction,0.001825547493779848
certReason_11,0.0017887502225314563
jurisdiction_2,0.00152378830428472
authorityDecision1_2,0.0015041551709907169
certReason_1,0.0014171447217872003
lawType_3,0.0013873833827211808
issueArea_-1,0.0012714452486193807
respondentState,0.0012691610035050196
petitionerState,0.0011860365782713467
authorityDecision1_5,0.001096668089736562
issueArea_2,0.001067308330391925
authorityDecision1_-1,0.0010623125428300617
authorityDecision1_7,0.0009747687040799397
authorityDecision1_3,0.0009490912220454901
decisionType_7,0.0008299190207081317
certReason_10,0.0007789281381569901
issueArea_8,0.000687332421111153
lcDispositionDirection_-1,0.0006602452137889327
lcDispositionDirection_3,0.0006247034949043637
issueArea_12,0.0005987331134750197
decisionType_6,0.0005556257647022397
lawType_-1,0.0005102790775424094
authorityDecision1_1,0.0005000786641867593
threeJudgeFdc_1,0.0004693692180207788
issueArea_7,0.0004529207535432178
issueArea_3,0.0004205732688115036
lawType_1,0.000406612861204705
certReason_-1,0.00037607410210970253
certReason_5,0.0003361797309732923
threeJudgeFdc_0,0.0003133373856342075
issueArea_10,0.0002402143231141787
issueArea_4,0.00013939162538238408
lawType_4,0.00013380402291712315
certReason_3,0.00011495257137470999
lawType_5,7.555726795663828e-05
certReason_13,6.588593240497042e-05
issueArea_5,6.54073927026764e-05
issueArea_13,5.0988898363805574e-05
certReason_4,2.9179379354011562e-05
certReason_6,1.9848691661384336e-05
issueArea_6,1.826295710855187e-05
certReason_7,1.4992216832714086e-05
issueArea_11,1.0866703276200234e-05
jurisdiction_4,0.0
jurisdiction_12,0.0
jurisdiction_6,0.0
jurisdiction_9,0.0
certReason_9,0.0
certReason_8,0.0
jurisdiction_7,0.0
threeJudgeFdc_-1,0.0
lcDisagreement_-1,0.0
authorityDecision1_6,0.0
lawType_8,0.0
lawType_9,0.0
